epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3613,0.81206,3.03991,1.19165,0.48442,1,0.51794,0.47041,0.46414,7.85756,0.93705,0.00012,0.00012,0.00012
2,39.1348,0.40134,1.38258,0.90345,0.98231,1,0.995,0.91715,0.37134,2.93943,0.83318,0.000257426,0.000257426,0.000257426
3,57.6474,0.42121,1.05458,0.91773,0.9909,1,0.995,0.88851,0.50436,3.06685,0.89017,0.00039208,0.00039208,0.00039208
4,75.9922,0.53335,1.23958,0.94502,0.99462,1,0.995,0.87598,0.45742,2.89019,0.90151,0.000523962,0.000523962,0.000523962
5,94.4391,0.56712,1.24048,0.98013,0.98643,1,0.995,0.85268,0.55251,1.51987,0.90363,0.000653072,0.000653072,0.000653072
6,112.813,0.57302,1.12489,0.93217,0.99306,1,0.995,0.89628,0.50001,2.02031,0.89955,0.00077941,0.00077941,0.00077941
7,131.063,0.58667,0.90608,0.93007,0.99583,1,0.995,0.8265,0.47516,2.00228,0.88334,0.000902976,0.000902976,0.000902976
8,149.492,0.50083,0.75345,0.88768,0.98087,1,0.995,0.86376,0.61004,1.3057,0.9439,0.00102377,0.00102377,0.00102377
9,167.656,0.53969,0.73384,0.93553,0.85714,0.46154,0.95714,0.78937,0.55438,8.56868,0.91166,0.00114179,0.00114179,0.00114179
10,185.92,0.57713,0.68044,0.99768,0.2085,1,0.81725,0.72594,0.55722,8.03302,0.94817,0.00125704,0.00125704,0.00125704
11,204.208,0.56142,0.67481,1.00882,0.70535,1,0.88653,0.67341,0.62962,2.38051,1.10068,0.00136952,0.00136952,0.00136952
12,222.581,0.54007,0.69531,0.95824,0.95975,1,0.995,0.81752,0.73524,1.31499,1.12045,0.00147923,0.00147923,0.00147923
